102398,Police Car,Cybercrime Unit,None
102567,Rescue Helicopter,K-9 Units,None
102799,Rescue Helicopter,Special Investigations Unit,None
101490,Rescue Helicopter,Detectives,None
103063,Flase Alarm,Detectives,Emergency Management Officials
103481,Rescue Helicopter,K-9 Units,None
103867,Flase Alarm,SWAT Teams,None
101784,Flase Alarm,Community Policing,None
102329,Fire Truck,Cybercrime Unit,None
101418,Fire Truck,Narcotics Division,None
103973,Fire Truck,K-9 Units,None
103519,Flase Alarm,Community Policing,None
100060,Police Car,Traffic Division,None
100195,Emergency Response TeamParamedicsHazmat TeamK-9 UnitSWAT Team,Narcotics Division,None
100506,Fire Truck,Detectives,Red Cross Volunteers
100196,Police Car,Special Investigations Unit,Search and Rescue Teams
102028,Flase Alarm,Traffic Division,None
101282,Rescue Helicopter,Detectives,Search and Rescue Teams
102479,Flase Alarm,Crime Scene Investigators,None
102906,Flase Alarm,SWAT Teams,Emergency Management Officials
